postId,l1,l2,l3,l4,l5,l6,processed,found,missed
4947,10,2,1,0,0,0,78,13,65
8215,21,3,4,0,0,0,156,28,128
0,0,0,0,0,0,0,0,0,0
11797,8,1,0,0,0,0,78,9,69
0,0,0,0,0,0,0,0,0,0
431,218,29,26,3,8,3,1986,287,1699
440,202,25,8,4,1,1,2124,241,1883
21,743,82,65,36,7,13,6714,946,5768
27,554,76,60,33,10,8,5328,741,4587
30,408,45,42,13,9,4,3708,521,3187
35,84,6,2,3,0,4,1074,99,975
37,136,26,14,14,6,7,1842,203,1639
3548,297,35,21,1,5,5,2928,364,2564
39,552,39,32,8,7,0,5004,638,4366
42,687,74,50,16,4,3,5928,834,5094
44,269,42,24,11,6,4,2940,356,2584
48,223,29,22,8,0,1,2370,283,2087
52,334,43,21,9,2,5,3306,414,2892
3647,198,20,12,4,1,1,2316,236,2080
250,195,25,7,3,3,1,2070,234,1836
59,483,74,42,17,4,11,4860,631,4229
5103,69,15,6,5,2,2,738,99,639
3591,201,23,22,5,2,4,2322,257,2065
63,622,45,40,23,3,3,5256,736,4520
65,100,4,3,0,0,0,1032,107,925
76,566,82,64,8,15,1,5076,736,4340
605,302,26,24,8,6,0,2538,366,2172
4779,17,2,3,0,0,0,144,22,122
650,273,53,37,30,5,6,3264,404,2860
4966,462,60,64,27,8,3,4746,624,4122
5427,6,3,2,0,0,0,54,11,43
382,434,38,23,9,5,1,4020,510,3510
243,0,0,1,0,0,0,42,1,41
8548,201,23,20,4,0,1,1986,249,1737
393,294,31,17,7,5,0,2826,354,2472
421,184,26,19,3,3,3,1866,238,1628
0,0,0,0,0,0,0,0,0,0
341,5,2,1,0,0,1,90,9,81
5367,249,38,13,4,14,4,2310,322,1988
359,191,24,13,0,4,2,1938,234,1704
3603,294,52,20,2,6,0,2784,374,2410
364,12,2,1,0,0,0,114,15,99
399,13,3,0,0,0,0,186,16,170
506,116,8,8,1,1,2,1362,136,1226
511,785,92,77,10,13,2,6804,979,5825
5992,377,36,25,6,3,0,3270,447,2823
3544,694,87,64,20,10,3,7062,878,6184
4558,19,2,1,0,0,0,138,22,116
1270,643,61,50,9,2,4,5952,769,5183
827,90,13,5,8,0,1,786,117,669
5340,7,2,2,0,0,0,84,11,73
748,86,8,9,1,0,0,1056,104,952
904,157,29,18,6,4,4,1572,218,1354
4445,270,35,16,3,1,5,2742,330,2412
787,1290,122,82,60,18,4,11448,1576,9872
4819,257,27,19,7,0,2,2364,312,2052
4887,18,2,0,0,0,0,132,20,112
802,13,0,0,0,0,0,90,13,77
812,94,8,5,3,0,1,936,111,825
848,290,55,45,16,14,3,3042,423,2619
4780,17,1,0,0,0,0,138,18,120
866,9,2,0,2,0,0,90,13,77
890,286,44,33,10,9,4,2832,386,2446
3459,286,53,36,9,3,7,2982,394,2588
911,5,1,0,0,1,0,54,7,47
1031,420,33,29,18,1,1,3366,502,2864
5031,90,11,12,4,1,2,1074,120,954
1064,89,14,13,7,0,3,1206,126,1080
1085,322,35,17,13,2,0,3204,389,2815
955,270,36,30,8,0,2,3024,346,2678
4919,634,118,57,24,8,8,6432,849,5583
977,76,12,5,1,4,2,1068,100,968
1037,4,0,0,0,0,0,36,4,32
1043,453,42,27,8,2,1,4494,533,3961
1049,22,1,2,2,1,0,174,28,146
1275,987,135,70,21,8,4,8634,1225,7409
1096,0,0,0,0,0,0,0,0,0
4809,9,3,2,2,0,0,102,16,86
1104,9,3,2,2,0,0,102,16,86
4811,1167,84,55,40,8,13,10386,1367,9019
5226,17,1,1,1,0,0,114,20,94
5218,13,1,1,0,1,0,120,16,104
5213,473,54,33,21,7,3,4680,591,4089
1178,419,34,15,3,0,0,3756,471,3285
1242,12,0,2,0,0,0,132,14,118
5252,253,17,19,4,2,2,2460,297,2163
1281,23,4,1,1,1,0,192,30,162
1286,19,1,1,0,0,1,168,22,146
1290,9,2,1,0,0,0,66,12,54
1294,225,38,21,16,5,6,2394,311,2083
1302,3,0,1,0,0,0,42,4,38
1329,106,13,7,4,1,0,1128,131,997
1350,170,23,9,8,3,5,1890,218,1672
1363,14,0,1,0,0,0,138,15,123
1382,304,30,25,9,8,1,2820,377,2443
1519,100,25,17,3,2,2,1236,149,1087
1433,170,34,16,7,1,1,1722,229,1493
7179,0,0,0,0,0,0,264,0,264
1594,186,18,11,3,1,1,1806,220,1586
4799,173,16,13,5,2,1,1482,210,1272
5284,12,0,0,0,0,0,114,12,102
5279,7,0,0,0,1,0,90,8,82
5270,691,81,60,16,11,3,7236,862,6374
1559,0,0,0,0,0,0,0,0,0
4768,96,9,9,3,1,2,954,120,834
1575,11,1,0,0,1,0,108,13,95
1586,415,31,25,3,8,0,4362,482,3880
1613,82,11,11,1,1,1,876,107,769
1620,6,0,0,0,0,0,72,6,66
1624,145,29,21,4,1,1,1554,201,1353
1634,164,19,11,4,1,0,1740,199,1541
1643,3,0,0,0,0,0,36,3,33
1753,20,3,3,0,1,0,186,27,159
4954,17,3,2,1,0,0,180,23,157
1692,50,8,7,5,0,1,558,71,487
5128,413,36,27,5,9,1,3996,491,3505
5141,278,27,18,3,2,0,2454,328,2126
1717,237,24,15,5,0,1,2448,282,2166
1725,16,2,1,1,0,0,144,20,124
1728,6,0,0,0,0,0,60,6,54
4487,906,70,64,31,15,6,8604,1092,7512
2778,76,11,4,9,1,0,948,101,847
1756,9,1,0,0,0,0,96,10,86
1885,650,65,31,8,22,0,5778,776,5002
5144,319,51,27,5,3,2,2970,407,2563
5146,8,2,1,0,0,0,84,11,73
5147,66,12,9,0,0,0,546,87,459
5149,224,18,10,2,4,1,2250,259,1991
5152,6,0,0,0,0,0,54,6,48
3740,294,39,29,3,6,1,2772,372,2400
3815,632,36,34,10,4,4,5934,720,5214
3742,349,67,43,20,7,13,3672,499,3173
3744,792,88,71,23,5,4,8214,983,7231
4752,318,41,24,11,5,0,3258,399,2859
3809,1052,109,57,38,13,7,10152,1276,8876
3738,458,38,31,10,4,5,4308,546,3762
1816,6,0,0,0,0,0,54,6,48
1819,8,0,0,0,0,0,60,8,52
3793,193,32,17,19,1,6,2016,268,1748
3772,11,2,1,0,0,0,144,14,130
3746,616,66,43,15,5,4,5934,749,5185
1822,5,0,0,0,0,0,72,5,67
1915,9,0,0,0,0,0,78,9,69
0,0,0,0,0,0,0,0,0,0
5094,320,37,29,6,5,0,2988,397,2591
5096,6,1,2,0,0,0,78,9,69
5097,204,24,18,6,4,0,1878,256,1622
5099,10,1,2,0,1,0,84,14,70
5105,245,26,21,6,2,1,2226,301,1925
1845,116,24,16,7,2,5,1536,170,1366
1856,5,1,0,0,0,0,60,6,54
5107,632,53,34,24,3,0,6006,746,5260
5046,399,47,25,17,7,1,3738,496,3242
1890,14,1,1,1,0,0,102,17,85
1894,14,3,2,0,0,0,114,19,95
1907,10,2,2,0,1,0,96,15,81
4795,6,2,1,0,1,0,90,10,80
1919,331,22,16,5,2,0,3090,376,2714
2416,15,0,1,1,1,0,114,18,96
1934,8,3,1,0,0,0,90,12,78
1938,5,0,0,0,0,0,42,5,37
4902,9,0,0,0,0,0,72,9,63
4908,14,2,3,0,0,0,132,19,113
4909,14,3,2,0,0,0,108,19,89
2419,14,2,1,0,1,1,144,19,125
5039,8,5,2,0,0,0,90,15,75
5030,3,2,1,1,0,0,66,7,59
5033,5,1,1,0,0,0,54,7,47
5035,11,1,0,0,0,0,132,12,120
5002,27,5,3,0,0,0,210,35,175
4911,8,0,0,0,0,0,84,8,76
1968,230,25,20,3,5,4,2400,287,2113
4996,1053,101,61,19,13,2,10140,1249,8891
0,0,0,0,0,0,0,0,0,0
4686,337,50,39,16,7,7,3540,456,3084
2100,7,3,4,1,0,0,96,15,81
1982,7,2,1,0,0,0,72,10,62
2120,9,0,0,0,1,1,102,11,91
4922,7,1,1,0,0,0,66,9,57
4924,11,0,0,1,0,1,90,13,77
4979,6,1,0,0,0,0,66,7,59
4927,327,48,38,19,12,2,3336,446,2890
4754,10,2,2,0,0,1,132,15,117
4944,5,0,0,0,0,0,54,5,49
4893,13,3,1,0,0,0,108,17,91
4899,25,0,0,1,0,0,180,26,154
4900,10,0,0,0,1,0,96,11,85
4897,19,1,1,0,0,0,150,21,129
2217,205,19,16,3,3,0,2280,246,2034
2103,6,2,2,0,0,0,78,10,68
4945,4,0,1,0,0,0,60,5,55
2107,694,115,67,11,32,9,6888,928,5960
3788,178,26,25,5,8,2,1722,244,1478
3755,256,19,13,8,0,6,2910,302,2608
2137,306,31,26,7,4,0,2898,374,2524
3587,534,47,36,21,5,1,4554,644,3910
4976,106,18,11,1,0,6,1218,142,1076
5079,162,25,21,5,0,3,1494,216,1278
2157,304,40,27,4,1,4,2904,380,2524
2161,6,2,0,0,0,0,60,8,52
2237,1,0,0,0,1,0,30,2,28
2241,8,0,1,0,0,0,72,9,63
2249,3,1,0,0,0,0,36,4,32
2298,435,73,41,2,1,6,3714,558,3156
3002,127,16,17,6,3,8,1482,177,1305
2985,5,0,0,0,0,0,48,5,43
2987,5,4,2,0,0,0,72,11,61
2991,4,1,1,0,0,0,54,6,48
2956,325,39,26,12,3,1,3180,406,2774
2961,7,2,1,1,0,0,72,11,61
2963,20,1,0,0,0,0,150,21,129
2971,14,0,0,0,0,0,126,14,112
2980,681,87,49,12,4,5,6840,838,6002
2342,1098,124,91,54,29,21,11214,1417,9797
3582,218,32,23,9,6,0,2160,288,1872
0,0,0,0,0,0,0,0,0,0
3594,359,46,30,14,6,7,3564,462,3102
3567,492,38,38,36,3,2,4722,609,4113
2429,10,0,2,0,0,0,90,12,78
4078,166,29,8,6,2,0,1758,211,1547
3080,136,14,10,4,1,1,1206,166,1040
2439,15,2,2,0,0,0,126,19,107
5323,425,28,21,7,4,0,4140,485,3655
3094,16,2,1,0,1,0,156,20,136
3076,11,0,0,0,0,0,90,11,79
5037,277,52,29,4,1,8,2604,371,2233
2467,359,39,25,12,5,1,3252,441,2811
2473,12,4,2,0,1,0,132,19,113
4000,16,2,1,0,0,0,144,19,125
2475,20,4,3,0,0,0,174,27,147
2482,24,4,3,0,1,0,240,32,208
2495,432,39,34,17,5,5,3984,532,3452
2499,8,1,1,0,1,0,90,11,79
4001,6,0,0,0,0,0,60,6,54
2501,15,1,1,0,1,0,120,18,102
2512,9,0,2,0,1,0,90,12,78
2524,275,38,27,17,4,5,2928,366,2562
8697,124,13,13,2,0,1,1128,153,975
2775,25,3,2,0,0,0,270,30,240
3422,482,48,25,11,5,2,4494,573,3921
2617,1115,128,91,30,38,10,11046,1412,9634
2642,230,21,17,6,4,2,2142,280,1862
3270,32,3,5,0,1,3,384,44,340
3614,700,80,46,21,18,9,8040,874,7166
2649,12,1,1,0,0,1,120,15,105
5320,540,68,40,15,1,0,5406,664,4742
3597,5,1,0,0,0,0,42,6,36
3601,84,9,5,1,1,0,1212,100,1112
3598,8,2,2,0,1,0,72,13,59
2667,11,0,1,1,0,0,108,13,95
4017,219,15,9,4,1,0,1926,248,1678
2690,941,127,93,27,8,7,10074,1203,8871
2938,326,63,40,24,12,14,3600,479,3121
2706,12,3,2,0,0,0,96,17,79
2716,10,2,1,0,0,0,102,13,89
2720,10,0,1,1,0,0,84,12,72
4060,270,30,23,6,4,1,2892,334,2558
3606,245,37,24,7,6,5,2592,324,2268
2784,470,51,32,10,7,4,4548,574,3974
0,0,0,0,0,0,0,0,0,0
3031,293,32,22,7,0,7,2748,361,2387
3041,18,0,0,0,0,0,144,18,126
3043,10,0,0,0,0,0,72,10,62
3453,228,17,7,5,2,1,2106,260,1846
3203,446,61,45,19,11,8,4188,590,3598
3230,126,11,10,5,1,0,1296,153,1143
3475,599,57,31,13,4,11,5868,715,5153
3497,188,9,5,6,0,0,1776,208,1568
4925,556,67,41,6,1,1,4752,672,4080
3410,182,38,20,17,2,9,2142,268,1874
3451,204,28,15,6,3,0,1980,256,1724
3466,213,28,18,10,5,1,2346,275,2071
3444,215,20,9,1,2,3,2310,250,2060
