postId,a1,a2,b1,b2,c1,c2,processed,found,missed
4947,8,8,8,6,3,0,78,33,45
8215,17,18,10,10,5,6,156,66,90
0,0,0,0,0,0,0,0,0,0
11797,8,6,4,2,0,0,78,20,58
0,0,0,0,0,0,0,0,0,0
431,192,150,101,71,41,22,1986,577,1409
440,168,159,91,70,64,28,2124,580,1544
21,663,506,389,286,172,87,6714,2103,4611
27,454,383,268,203,147,68,5328,1523,3805
30,340,271,221,151,117,35,3708,1135,2573
35,72,60,43,35,26,15,1074,251,823
37,114,109,102,77,70,24,1842,496,1346
3548,242,214,144,96,72,44,2928,812,2116
39,454,426,299,242,145,100,5004,1666,3338
42,601,502,359,228,131,80,5928,1901,4027
44,210,198,135,72,61,44,2940,720,2220
48,197,175,120,84,51,34,2370,661,1709
52,271,250,187,118,84,38,3306,948,2358
3647,163,132,91,65,36,24,2316,511,1805
250,173,135,95,58,33,22,2070,516,1554
59,404,333,237,197,113,67,4860,1351,3509
5103,56,38,46,20,21,11,738,192,546
3591,176,148,112,93,65,35,2322,629,1693
63,521,417,277,139,70,76,5256,1500,3756
65,83,73,41,28,13,12,1032,250,782
76,481,399,315,214,134,100,5076,1643,3433
605,229,227,146,104,91,43,2538,840,1698
4779,15,10,5,3,2,5,144,40,104
650,219,219,197,151,107,53,3264,946,2318
4966,384,314,223,141,111,76,4746,1249,3497
5427,6,6,3,2,1,1,54,19,35
382,351,320,237,168,81,86,4020,1243,2777
243,1,0,0,0,0,0,42,1,41
8548,159,140,100,61,39,27,1986,526,1460
393,243,223,165,114,68,43,2826,856,1970
421,152,120,99,62,36,27,1866,496,1370
0,0,0,0,0,0,0,0,0,0
341,5,3,2,3,0,2,90,15,75
5367,214,173,144,108,82,41,2310,762,1548
359,166,133,94,76,41,29,1938,539,1399
3603,255,233,158,123,69,59,2784,897,1887
364,8,10,6,7,4,3,114,38,76
399,12,12,6,4,1,1,186,36,150
506,97,93,65,44,29,12,1362,340,1022
511,604,570,395,283,215,126,6804,2193,4611
5992,338,213,165,99,47,40,3270,902,2368
3544,582,488,334,261,159,74,7062,1898,5164
4558,15,11,7,7,6,1,138,47,91
1270,532,421,333,232,138,75,5952,1731,4221
827,76,84,61,36,20,13,786,290,496
5340,5,6,3,5,2,1,84,22,62
748,69,60,29,19,7,5,1056,189,867
904,130,119,95,73,50,28,1572,495,1077
4445,235,200,119,79,42,41,2742,716,2026
787,1105,919,604,432,255,207,11448,3522,7926
4819,220,159,113,72,46,20,2364,630,1734
4887,15,11,11,10,4,2,132,53,79
802,11,7,5,3,3,1,90,30,60
812,84,68,54,42,25,14,936,287,649
848,258,205,163,107,72,41,3042,846,2196
4780,12,11,9,5,4,3,138,44,94
866,8,7,5,2,4,4,90,30,60
890,244,183,138,92,59,51,2832,767,2065
3459,250,217,166,109,75,36,2982,853,2129
911,3,4,4,2,2,1,54,16,38
1031,339,274,182,131,80,48,3366,1054,2312
5031,75,64,48,36,19,14,1074,256,818
1064,75,71,51,35,37,16,1206,285,921
1085,276,198,138,77,62,24,3204,775,2429
955,238,219,148,115,68,35,3024,823,2201
4919,550,455,363,234,166,73,6432,1841,4591
977,64,58,50,30,20,13,1068,235,833
1037,2,2,1,1,0,0,36,6,30
1043,389,304,178,112,95,68,4494,1146,3348
1049,20,15,7,11,7,4,174,64,110
1275,791,767,540,355,258,187,8634,2898,5736
1096,0,0,0,0,0,0,0,0,0
4809,6,10,6,4,3,4,102,33,69
1104,6,10,6,4,3,4,102,33,69
4811,1001,773,572,352,225,150,10386,3073,7313
5226,16,9,6,4,0,2,114,37,77
5218,10,7,5,4,0,3,120,29,91
5213,390,337,211,178,89,79,4680,1284,3396
1178,370,280,204,158,110,62,3756,1184,2572
1242,9,9,6,5,5,3,132,37,95
5252,214,196,131,85,76,30,2460,732,1728
1281,21,19,14,9,8,4,192,75,117
1286,14,12,10,7,9,3,168,55,113
1290,8,7,5,3,1,4,66,28,38
1294,188,173,120,96,85,36,2394,698,1696
1302,3,3,1,1,1,1,42,10,32
1329,92,73,56,42,22,11,1128,296,832
1350,133,125,101,71,37,35,1890,502,1388
1363,11,6,6,5,3,3,138,34,104
1382,245,227,181,165,113,55,2820,986,1834
1519,83,84,67,53,40,11,1236,338,898
1433,162,129,114,75,47,18,1722,545,1177
7179,0,0,0,0,0,0,264,0,264
1594,154,136,91,53,16,22,1806,472,1334
4799,151,108,72,56,31,22,1482,440,1042
5284,9,10,10,6,7,1,114,43,71
5279,7,5,3,2,0,0,90,17,73
5270,574,496,446,309,197,93,7236,2115,5121
1559,0,0,0,0,0,0,0,0,0
4768,70,60,50,42,24,16,954,262,692
1575,8,7,4,4,3,3,108,29,79
1586,374,324,218,187,101,71,4362,1275,3087
1613,58,55,51,38,13,16,876,231,645
1620,3,6,3,3,1,2,72,18,54
1624,123,104,79,49,29,25,1554,409,1145
1634,142,103,81,60,29,10,1740,425,1315
1643,3,1,1,2,1,0,36,8,28
1753,17,14,11,7,6,3,186,58,128
4954,13,13,12,8,4,3,180,53,127
1692,41,35,35,20,9,7,558,147,411
5128,348,309,223,163,75,72,3996,1190,2806
5141,219,220,158,106,90,62,2454,855,1599
1717,201,169,133,86,42,34,2448,665,1783
1725,15,11,7,3,2,1,144,39,105
1728,6,6,5,6,1,2,60,26,34
4487,799,646,434,312,211,134,8604,2536,6068
2778,66,54,53,39,19,12,948,243,705
1756,7,8,5,4,1,2,96,27,69
1885,512,507,394,253,161,108,5778,1935,3843
5144,265,251,181,125,69,63,2970,954,2016
5146,7,7,5,5,1,2,84,27,57
5147,58,54,33,31,15,5,546,196,350
5149,180,173,121,83,54,24,2250,635,1615
5152,5,4,5,4,3,1,54,22,32
3740,226,232,193,132,95,88,2772,966,1806
3815,541,397,272,138,94,63,5934,1505,4429
3742,297,282,199,147,99,55,3672,1079,2593
3744,645,590,443,301,205,129,8214,2313,5901
4752,277,220,145,106,69,39,3258,856,2402
3809,861,772,592,456,292,143,10152,3116,7036
3738,385,315,215,167,116,56,4308,1254,3054
1816,5,5,3,2,0,1,54,16,38
1819,7,7,4,3,1,2,60,24,36
3793,174,145,123,90,60,34,2016,626,1390
3772,8,8,4,1,4,1,144,26,118
3746,533,412,300,189,116,84,5934,1634,4300
1822,3,5,2,3,1,2,72,16,56
1915,9,5,3,4,2,3,78,26,52
0,0,0,0,0,0,0,0,0,0
5094,272,246,192,126,70,68,2988,974,2014
5096,7,5,6,3,2,0,78,23,55
5097,162,142,114,73,39,37,1878,567,1311
5099,7,5,6,1,0,1,84,20,64
5105,196,177,133,108,49,36,2226,699,1527
1845,98,91,72,53,35,28,1536,377,1159
1856,3,5,4,3,2,1,60,18,42
5107,542,466,299,200,133,112,6006,1752,4254
5046,351,271,229,128,83,44,3738,1106,2632
1890,11,11,5,4,2,3,102,36,66
1894,11,12,9,5,5,3,114,45,69
1907,9,7,7,4,3,3,96,33,63
4795,7,5,4,0,0,1,90,17,73
1919,300,198,131,106,50,37,3090,822,2268
2416,12,13,10,6,3,1,114,45,69
1934,9,7,8,5,2,0,90,31,59
1938,5,3,3,4,2,1,42,18,24
4902,8,4,4,3,0,3,72,22,50
4908,12,10,6,4,3,3,132,38,94
4909,8,11,7,6,2,3,108,37,71
2419,11,7,6,7,2,6,144,39,105
5039,7,6,5,1,1,2,90,22,68
5030,3,2,3,1,2,1,66,12,54
5033,3,5,3,5,1,3,54,20,34
5035,8,8,7,6,3,1,132,33,99
5002,26,22,14,7,4,3,210,76,134
4911,6,6,4,3,2,1,84,22,62
1968,187,147,114,95,57,37,2400,637,1763
4996,926,765,508,379,231,166,10140,2975,7165
0,0,0,0,0,0,0,0,0,0
4686,287,225,191,116,69,63,3540,951,2589
2100,7,6,8,3,3,0,96,27,69
1982,5,4,1,2,1,0,72,13,59
2120,9,8,7,6,6,1,102,37,65
4922,7,4,3,2,1,0,66,17,49
4924,7,8,6,5,4,1,90,31,59
4979,5,4,2,2,1,0,66,14,52
4927,287,228,175,119,66,37,3336,912,2424
