postId,l1,l2,l3,l4,l5,l6,processed,found,missed
5085,156,36,27,20,11,3,2328,253,2075
3913,142,18,5,11,1,2,1488,179,1309
3711,172,27,15,10,2,2,1902,228,1674
3693,149,34,22,11,9,5,1752,230,1522
3589,119,22,9,11,5,4,1536,170,1366
4802,134,15,20,11,1,2,1578,183,1395
4561,225,47,34,14,11,8,8292,339,7953
4968,130,28,13,13,8,3,1758,195,1563
4336,222,83,33,25,9,13,3546,385,3161
4424,155,25,16,12,3,2,1806,213,1593
4332,123,43,18,13,7,6,1872,210,1662
5021,50,9,9,6,2,1,678,77,601
4220,303,97,65,61,18,27,5622,571,5051
5186,91,11,7,1,2,1,918,113,805
4215,164,24,22,7,2,4,1878,223,1655
4200,147,28,22,20,9,3,1860,229,1631
4165,59,9,5,5,1,0,690,79,611
4163,113,24,12,15,3,0,1530,167,1363
5895,127,36,21,12,7,6,1920,209,1711
5793,90,19,10,4,4,4,1134,131,1003
4013,119,27,17,6,3,5,1656,177,1479
5806,60,7,5,3,2,1,612,78,534
3940,308,58,44,26,17,12,4338,465,3873
5433,94,19,10,9,2,4,1356,138,1218
4974,227,38,21,14,4,4,2646,308,2338
3649,152,33,29,14,6,10,2250,244,2006
7126,80,5,5,5,2,1,822,98,724
8199,106,19,9,10,4,1,1356,149,1207
8200,88,23,13,11,3,3,1320,141,1179
6151,79,17,14,11,0,1,1008,122,886
3762,86,19,19,7,3,3,1338,137,1201
50,90,18,10,8,4,2,1200,132,1068
5881,72,10,5,1,2,0,798,90,708
4522,92,22,13,10,6,4,1362,147,1215
7130,150,18,8,5,10,2,1416,193,1223
6420,53,9,6,2,2,3,702,75,627
5797,128,19,13,9,2,3,1686,174,1512
8441,56,10,6,4,4,1,714,81,633
8456,235,39,27,14,8,3,2802,326,2476
8457,134,32,26,20,6,8,2166,226,1940
2093,115,16,18,14,3,1,1476,167,1309
8547,119,27,11,5,6,4,1314,172,1142
8545,128,25,6,12,2,4,1392,177,1215
6061,76,13,6,4,0,1,780,100,680
3791,146,30,19,5,6,5,1746,211,1535
7184,121,15,14,6,3,2,1500,161,1339
8699,49,10,7,4,4,1,630,75,555
8700,95,11,10,3,3,2,978,124,854
6521,80,13,11,2,6,2,1032,114,918
8701,124,21,16,7,5,1,1596,174,1422
3585,274,59,27,22,11,4,3738,397,3341
6460,61,14,6,3,3,3,816,90,726
6781,141,41,18,17,7,6,2112,230,1882
5194,126,24,17,7,6,4,1878,184,1694
5845,146,29,18,23,6,8,2088,230,1858
8859,105,13,7,0,2,0,1098,127,971
4457,67,17,4,7,3,1,894,99,795
8854,77,14,5,11,2,2,1008,111,897
8860,74,13,7,5,5,5,876,109,767
8919,65,14,4,7,4,5,894,99,795
8917,130,34,14,6,4,3,1578,191,1387
8918,130,34,14,6,4,3,1578,191,1387
9091,91,18,13,8,5,2,1374,137,1237
9092,73,12,7,5,2,3,900,102,798
8717,103,19,13,12,4,7,1650,158,1492
9097,67,11,7,4,2,0,756,91,665
9578,115,21,9,7,1,4,1260,157,1103
9582,99,21,11,15,5,7,1482,158,1324
9584,90,20,10,6,3,4,1068,133,935
9580,75,13,11,12,1,3,1140,115,1025
9626,124,17,5,2,3,1,1194,152,1042
9625,136,29,12,13,6,7,1974,203,1771
9751,136,25,15,11,4,5,1902,196,1706
9769,160,28,22,10,4,4,1698,228,1470
9770,61,9,4,0,0,0,594,74,520
9771,65,7,7,2,3,0,624,84,540
9850,137,21,9,5,3,3,1752,178,1574
9851,87,9,8,1,0,0,858,105,753
9918,77,15,14,5,5,5,1056,121,935
9916,77,25,10,3,3,4,1158,122,1036
10022,71,19,10,4,0,5,960,109,851
10073,119,24,17,12,4,4,1608,180,1428
10019,82,9,3,7,3,3,774,107,667
10020,86,6,7,2,3,0,888,104,784
10021,96,14,12,14,4,4,1356,144,1212
10026,91,12,12,4,0,0,840,119,721
10023,114,28,11,8,8,3,1266,172,1094
10074,119,19,10,8,3,2,1248,161,1087
10177,102,41,23,18,6,12,2004,202,1802
10201,211,46,14,8,8,4,2568,291,2277
10589,166,39,17,9,9,4,2358,244,2114
10249,185,25,15,8,2,8,2190,243,1947
10250,130,22,8,7,4,0,1368,171,1197
10301,196,40,26,19,8,9,2874,298,2576
10257,118,16,5,4,1,1,1128,145,983
10303,116,12,13,4,2,3,1182,150,1032
10308,107,23,12,7,6,2,1224,157,1067
10457,121,19,17,6,3,4,1440,170,1270
10459,195,44,29,20,9,6,2796,303,2493
10455,127,26,13,8,4,2,1698,180,1518
10537,118,26,14,14,3,4,1470,179,1291
10540,107,30,16,10,5,1,1578,169,1409
10543,99,40,19,21,7,7,1566,193,1373
10546,74,12,12,5,1,0,936,104,832
10565,111,20,8,5,3,2,1308,149,1159
10564,55,10,2,1,0,0,456,68,388
10570,105,20,7,3,3,6,1350,144,1206
10568,112,25,16,15,5,3,1698,176,1522
10573,54,9,6,10,2,2,696,83,613
10586,50,7,2,1,1,2,444,63,381
10535,124,24,18,11,2,0,1380,179,1201
10858,92,23,8,4,3,3,1230,133,1097
10860,77,12,10,6,6,0,834,111,723
11387,54,7,6,4,2,2,528,75,453
11385,120,20,13,16,1,3,1554,173,1381
11389,64,9,9,6,3,5,798,96,702
11399,120,23,12,4,6,5,1362,170,1192
11406,78,15,15,3,4,5,1038,120,918
11429,130,17,11,14,8,1,1614,181,1433
